2020-09-13_17:26:05_Real-time_Maharashtra - COMBINED_Combined
index,Time Stamp,Forecast_Rev [MW],Actual [MW],AvC [MW], Schedule [MW],Error=Abs(Fc-ACT)/AvC
85,13-09-2020 21:00,858.58,,6331.12,1018.21,0.14
86,13-09-2020 21:15,831.17,,6331.12,1009.12,0.13
87,13-09-2020 21:30,816.32,,6331.12,989.55,0.13
88,13-09-2020 21:45,808.78,,6331.12,984.81,0.13
89,13-09-2020 22:00,797.99,,6331.12,983.46,0.13
90,13-09-2020 22:15,787.95,,6331.12,955.11,0.12
91,13-09-2020 22:30,776.82,,6331.12,918.09,0.12
92,13-09-2020 22:45,781.18,,6331.12,908.41,0.12
93,13-09-2020 23:00,787.26,,6331.12,935.04,0.12
94,13-09-2020 23:15,800.45,,6331.12,937.41,0.13
95,13-09-2020 23:30,807.82,,6331.12,923.77,0.13
96,13-09-2020 23:45,807.51,,6331.12,894.28,0.13
